Anno,Tipo variazione,Codice Regione,Codice Unità territoriale sovracomunale,Codice Comune formato alfanumerico,Denominazione Comune,Codice Regione associato alla variazione,Codice Unità territoriale sovracomunale associato alla variazione,Codice del Comune associato alla variazione o nuovo codice Istat del Comune ,Denominazione Comune associata alla variazione o nuova denominazione,Provvedimento e Documento,Contenuto del provvedimento,Data decorrenza validità amministrativa,Flag_note
1992,AP,1,2,2075,Masserano,1,96,96032,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2076,Mezzana Mortigliengo,1,96,96033,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2077,Miagliano,1,96,96034,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2080,Mongrando,1,96,96035,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2081,Mosso Santa Maria,1,96,96036,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2083,Mottalciata,1,96,96037,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2084,Muzzano,1,96,96038,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2085,Netro,1,96,96039,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2086,Occhieppo Inferiore,1,96,96040,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2087,Occhieppo Superiore,1,96,96041,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2092,Pettinengo,1,96,96042,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2094,Piatto,1,96,96043,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2095,Piedicavallo,1,96,96044,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2098,Pistolesa,1,96,96045,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2099,Pollone,1,96,96046,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2100,Ponderano,1,96,96047,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2101,Portula,1,96,96048,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2103,Pralungo,1,96,96049,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2105,Pray,1,96,96050,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2106,Quaregna,1,96,96051,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2109,Quittengo,1,96,96052,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2117,Ronco Biellese,1,96,96053,,Decreto Legislativo 6 marzo 1992,,,
