Anno;Tipo variazione;Codice Regione;Codice Unità territoriale sovracomunale;Codice Comune formato alfanumerico;Denominazione Comune;Codice Regione associato alla variazione;Codice Unità territoriale sovracomunale associato alla variazione;Codice del Comune associato alla variazione o nuovo codice Istat del Comune ;Denominazione Comune associata alla variazione o nuova denominazione;Provvedimento e Documento;Contenuto del provvedimento;Data decorrenza validità amministrativa;Flag_note
1992;AP;01;002;002165;Viverone;01;096;096080;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002167;Zimone;01;096;096081;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002168;Zubiena;01;096;096082;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;002;002169;Zumaglia;01;096;096083;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;;
1992;AP;01;003;003003;Antrona Schieranco;01;103;103001;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003004;Anzola d'Ossola;01;103;103002;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003005;Arizzano;01;103;103003;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003007;Arola;01;103;103004;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003009;Aurano;01;103;103005;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003010;Baceno;01;103;103006;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003011;Bannio Anzino;01;103;103007;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003013;Baveno;01;103;103008;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003014;Bee;01;103;103009;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003015;Belgirate;01;103;103010;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003017;Beura-Cardezza;01;103;103011;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003020;Bognanco;01;103;103012;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003028;Brovello-Carpugnino;01;103;103013;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003029;Calasca-Castiglione;01;103;103014;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003031;Cambiasca;01;103;103015;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003033;Cannero Riviera;01;103;103016;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003034;Cannobio;01;103;103017;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003035;Caprezzo;01;103;103018;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
